text,span,label,ordinal
The only thing bad at this game is the server issues.I mean you would think that with all the money they have made they would have fixed it... right?So I decided to not recommend this game right now.anyone how thinks of buying this I'm not saying you shouldn't I'm saying that you should wait until this game is in a better state.,Performance and Optimization,negative,0
The only thing bad at this game is the server issues.I mean you would think that with all the money they have made they would have fixed it... right?So I decided to not recommend this game right now.anyone how thinks of buying this I'm not saying you shouldn't I'm saying that you should wait until this game is in a better state.,server,negative,0
The only thing bad at this game is the server issues.I mean you would think that with all the money they have made they would have fixed it... right?So I decided to not recommend this game right now.anyone how thinks of buying this I'm not saying you shouldn't I'm saying that you should wait until this game is in a better state.,Multiplayer Experience,negative,0
Many people are giving a hard time on the game in the reviews.Honestly it's not all that bad. Firstly the devs promised to fix majority of issues in few upcoming months which is already WOAH makes me really happy. Secondly the game itself is quite good yes you may have lags and bugs here and there but it's not that horrible. Would still recommend this game despite all it's cons.,Performance and Optimization,negative,0
Many people are giving a hard time on the game in the reviews.Honestly it's not all that bad. Firstly the devs promised to fix majority of issues in few upcoming months which is already WOAH makes me really happy. Secondly the game itself is quite good yes you may have lags and bugs here and there but it's not that horrible. Would still recommend this game despite all it's cons.,bugs,negative,0
Many people are giving a hard time on the game in the reviews.Honestly it's not all that bad. Firstly the devs promised to fix majority of issues in few upcoming months which is already WOAH makes me really happy. Secondly the game itself is quite good yes you may have lags and bugs here and there but it's not that horrible. Would still recommend this game despite all it's cons.,support,positive,0
Many people are giving a hard time on the game in the reviews.Honestly it's not all that bad. Firstly the devs promised to fix majority of issues in few upcoming months which is already WOAH makes me really happy. Secondly the game itself is quite good yes you may have lags and bugs here and there but it's not that horrible. Would still recommend this game despite all it's cons.,bug fixes,positive,0
don t get me wrong it is an awesome game. but why the hell do a full prise/Ea prise game need microtransactions don't support it!! this is only a beginning of more over pricing games for content that shot not be behind a pay wall when we already paid for a full game.,Monetization,negative,0
don t get me wrong it is an awesome game. but why the hell do a full prise/Ea prise game need microtransactions don't support it!! this is only a beginning of more over pricing games for content that shot not be behind a pay wall when we already paid for a full game.,microtransactions,negative,0
Best $30 I've spent on Steam thus far. The roadmap for new development looks really good. This game really makes what the folks at Bi did with all that DAYZ money look a bit sad.,Support,positive,0
Best $30 I've spent on Steam thus far. The roadmap for new development looks really good. This game really makes what the folks at Bi did with all that DAYZ money look a bit sad.,Monetization,positive,0
The optimisation in this game could use alot of work. The first fews games you play are fustrating to say the least but after them you get into the rythm of the game and actully kill some scrubs. Would say the game is best played with a squad. The most fun thing in this game too do would have to be longrange kills there so satsfying.,Performance and Optimization,negative,0
The optimisation in this game could use alot of work. The first fews games you play are fustrating to say the least but after them you get into the rythm of the game and actully kill some scrubs. Would say the game is best played with a squad. The most fun thing in this game too do would have to be longrange kills there so satsfying.,Multiplayer Experience,positive,0
The optimisation in this game could use alot of work. The first fews games you play are fustrating to say the least but after them you get into the rythm of the game and actully kill some scrubs. Would say the game is best played with a squad. The most fun thing in this game too do would have to be longrange kills there so satsfying.,combat,positive,0
The optimisation in this game could use alot of work. The first fews games you play are fustrating to say the least but after them you get into the rythm of the game and actully kill some scrubs. Would say the game is best played with a squad. The most fun thing in this game too do would have to be longrange kills there so satsfying.,optimization,negative,0
Once you Play it with your friends you will never get enough.,Multiplayer Experience,positive,0
Once you Play it with your friends you will never get enough.,friends,positive,0
The game needs an indicator as to where shots are comming from there really isen't a gun flash or anything once a player missed me 20 times while i was trying to find him and i could not see him. This seems to be the essence of the game if you see someone and get to first shot you win. There is no real counterplay but to hide until you see them move kind of bad when most of the gameplay is bushwookie simulator.However i do like playing the game it is really fun at most times and the urban combat is really fun.The only reason i am making a negativ review is so that people that have yet to buy the game now some of the cons to the game.,combat,positive,0
The game needs an indicator as to where shots are comming from there really isen't a gun flash or anything once a player missed me 20 times while i was trying to find him and i could not see him. This seems to be the essence of the game if you see someone and get to first shot you win. There is no real counterplay but to hide until you see them move kind of bad when most of the gameplay is bushwookie simulator.However i do like playing the game it is really fun at most times and the urban combat is really fun.The only reason i am making a negativ review is so that people that have yet to buy the game now some of the cons to the game.,Gameplay Mechanics,negative,0
must have a beast pc to play,Performance and Optimization,negative,0
"Hello People Here is an updated review to PUBG my last was very positive.Developers and the game It has changed a lot with the time the developers brought out many useless updates and made a lot of money with the game we got nearly nothing!PUBG is now one of the most selled games ever in his time range and it feels like the developers are just interrested in the costumers money so we never got free stuff or funny events we should get because WE ARE THE COMMUNITY we make the game great because we are the ones who keeps it alive. For example we nearly never got an performance update or something.Players/ PlaystyleThen there is a big problem (in my opinion). I speak about the direction how the players plays they just camp in buildings or at the deathly border. This takes away the action parts of the game there are no fair and fun gun fights WHO CAMPS WINS. The only action u get is in the TOP 10 FIGHT.Positive/ Negative things pointedNEGATIVE moneygreedy developers still bad performance (getting better slowly) mad/ terrible players support isn't interested in your problems (I got banned for something i didn't do)POSITIVE still makes addicted ""FIX PUBG"" campaignResultsAll in one I need to say that PLAYERUNKNOWN'S BATTLEGROUNDS regressed really hard.(refreshed 2018 08 18)",updates,negative,0
"Hello People Here is an updated review to PUBG my last was very positive.Developers and the game It has changed a lot with the time the developers brought out many useless updates and made a lot of money with the game we got nearly nothing!PUBG is now one of the most selled games ever in his time range and it feels like the developers are just interrested in the costumers money so we never got free stuff or funny events we should get because WE ARE THE COMMUNITY we make the game great because we are the ones who keeps it alive. For example we nearly never got an performance update or something.Players/ PlaystyleThen there is a big problem (in my opinion). I speak about the direction how the players plays they just camp in buildings or at the deathly border. This takes away the action parts of the game there are no fair and fun gun fights WHO CAMPS WINS. The only action u get is in the TOP 10 FIGHT.Positive/ Negative things pointedNEGATIVE moneygreedy developers still bad performance (getting better slowly) mad/ terrible players support isn't interested in your problems (I got banned for something i didn't do)POSITIVE still makes addicted ""FIX PUBG"" campaignResultsAll in one I need to say that PLAYERUNKNOWN'S BATTLEGROUNDS regressed really hard.(refreshed 2018 08 18)",Support,negative,0
"Hello People Here is an updated review to PUBG my last was very positive.Developers and the game It has changed a lot with the time the developers brought out many useless updates and made a lot of money with the game we got nearly nothing!PUBG is now one of the most selled games ever in his time range and it feels like the developers are just interrested in the costumers money so we never got free stuff or funny events we should get because WE ARE THE COMMUNITY we make the game great because we are the ones who keeps it alive. For example we nearly never got an performance update or something.Players/ PlaystyleThen there is a big problem (in my opinion). I speak about the direction how the players plays they just camp in buildings or at the deathly border. This takes away the action parts of the game there are no fair and fun gun fights WHO CAMPS WINS. The only action u get is in the TOP 10 FIGHT.Positive/ Negative things pointedNEGATIVE moneygreedy developers still bad performance (getting better slowly) mad/ terrible players support isn't interested in your problems (I got banned for something i didn't do)POSITIVE still makes addicted ""FIX PUBG"" campaignResultsAll in one I need to say that PLAYERUNKNOWN'S BATTLEGROUNDS regressed really hard.(refreshed 2018 08 18)",Monetization,negative,0
"Hello People Here is an updated review to PUBG my last was very positive.Developers and the game It has changed a lot with the time the developers brought out many useless updates and made a lot of money with the game we got nearly nothing!PUBG is now one of the most selled games ever in his time range and it feels like the developers are just interrested in the costumers money so we never got free stuff or funny events we should get because WE ARE THE COMMUNITY we make the game great because we are the ones who keeps it alive. For example we nearly never got an performance update or something.Players/ PlaystyleThen there is a big problem (in my opinion). I speak about the direction how the players plays they just camp in buildings or at the deathly border. This takes away the action parts of the game there are no fair and fun gun fights WHO CAMPS WINS. The only action u get is in the TOP 10 FIGHT.Positive/ Negative things pointedNEGATIVE moneygreedy developers still bad performance (getting better slowly) mad/ terrible players support isn't interested in your problems (I got banned for something i didn't do)POSITIVE still makes addicted ""FIX PUBG"" campaignResultsAll in one I need to say that PLAYERUNKNOWN'S BATTLEGROUNDS regressed really hard.(refreshed 2018 08 18)",performance,negative,0
"Hello People Here is an updated review to PUBG my last was very positive.Developers and the game It has changed a lot with the time the developers brought out many useless updates and made a lot of money with the game we got nearly nothing!PUBG is now one of the most selled games ever in his time range and it feels like the developers are just interrested in the costumers money so we never got free stuff or funny events we should get because WE ARE THE COMMUNITY we make the game great because we are the ones who keeps it alive. For example we nearly never got an performance update or something.Players/ PlaystyleThen there is a big problem (in my opinion). I speak about the direction how the players plays they just camp in buildings or at the deathly border. This takes away the action parts of the game there are no fair and fun gun fights WHO CAMPS WINS. The only action u get is in the TOP 10 FIGHT.Positive/ Negative things pointedNEGATIVE moneygreedy developers still bad performance (getting better slowly) mad/ terrible players support isn't interested in your problems (I got banned for something i didn't do)POSITIVE still makes addicted ""FIX PUBG"" campaignResultsAll in one I need to say that PLAYERUNKNOWN'S BATTLEGROUNDS regressed really hard.(refreshed 2018 08 18)",community,positive,0
"Hello People Here is an updated review to PUBG my last was very positive.Developers and the game It has changed a lot with the time the developers brought out many useless updates and made a lot of money with the game we got nearly nothing!PUBG is now one of the most selled games ever in his time range and it feels like the developers are just interrested in the costumers money so we never got free stuff or funny events we should get because WE ARE THE COMMUNITY we make the game great because we are the ones who keeps it alive. For example we nearly never got an performance update or something.Players/ PlaystyleThen there is a big problem (in my opinion). I speak about the direction how the players plays they just camp in buildings or at the deathly border. This takes away the action parts of the game there are no fair and fun gun fights WHO CAMPS WINS. The only action u get is in the TOP 10 FIGHT.Positive/ Negative things pointedNEGATIVE moneygreedy developers still bad performance (getting better slowly) mad/ terrible players support isn't interested in your problems (I got banned for something i didn't do)POSITIVE still makes addicted ""FIX PUBG"" campaignResultsAll in one I need to say that PLAYERUNKNOWN'S BATTLEGROUNDS regressed really hard.(refreshed 2018 08 18)",Gameplay Mechanics,negative,0
Damn game ur ing game is too many crushed. sometime i think buying pubg is wasting my money,money,negative,0
good game but i just cant recommend based on the fact that friendly fire is enabled so team killing is frequent when playing with randoms. sometimes your teammates will just kill you for the loot as if you were the enemy. ill change this to a positive review with pros and cons if friendly fire gets disabled as friendly fire has no place in this game. untill then this is all ive got to say about it.,Multiplayer Experience,negative,0
"I don't usually write negative reviews but here goes this one.This game started good. I bought it last year around June and i found it fun to play as it was something new. Then all of a sudden the Asians started invading the servers around mid August in which the game became literally unplayable. Everyone was lagging the servers were not connecting and if you could connect it would disconnect you after 10 15 minutes. Also there was a big problem with cheaters (idk if there is still this problem because the ""killcam"" is broken after 3 months that it was implemented. You will never know if the guy who killed you is legit or not)All in all good experience in the beginning which ended in a disasterGame should have not left the alpha stageAt least got my money back from items sold in market BAD SERVERS rubberbanding/disconnects/lag still exists CRASHES OPTIMIZATION still bad even after *big improvements* CHEATERS LOOTBOXES in an unfinished game are always a bad sign",Multiplayer Experience,negative,0
