,date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
219127,2018-01-05,1,3,194,False,Not Recommended,ugly game bad game DONT BUY. DONT BUY DONT BUYwould refund if I could,PLAYERUNKNOWN'S BATTLEGROUNDS
245552,2018-02-10,1,3,1155,False,Not Recommended,Product received for free. This game is great but then at the same time it is Trash. The owners of the game need to stop being cheap. How are they making millioins of dallors on a game but yet theyre severs are supper trash. I never played a game that ive lagged out so many times. Game is TRASH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,PLAYERUNKNOWN'S BATTLEGROUNDS
116496,2015-05-24,3,4,339,False,Recommended,Took a plane and crashed it on a road killing many civilians. Respawned did it again.ISIS Simulator 2015Buy this to your children parents.911/10,Grand Theft Auto V
133561,2015-05-05,3,20,758,False,Not Recommended,I remember when a good fov slider was in games now a days you get banned for things that should be in already.,Grand Theft Auto V
265262,2017-08-11,1,2,165,True,Recommended,This game is amazing,PLAYERUNKNOWN'S BATTLEGROUNDS
366229,2017-03-11,8,56,655,True,Not Recommended,This game can be great and has potential but the community is appauling. Just like DayZ it is shoot on sight and nothing else. None tries to talk or rob you or anything other than kill you. You will simply be building and not be a threat to anyone but still you will get killed. No matter what you do in this game you will be killed.If you ignor this however this game is great but it will make your life miserable.With the new update this game is definatly not worth playing now people can just build over your walls and put ladders on your building. So now solo players or small groups are done for.,Rust
113691,2016-01-02,7,18,646,False,Recommended,If you like to do things that you cant do then buy this game.,Grand Theft Auto V
29769,2018-08-10,1,8,26,False,Not Recommended,Disappointing pc port to an otherwise great game.,MONSTER HUNTER: WORLD
29564,2018-10-26,3,4,102,False,Not Recommended,Something is wrong with their saving system. It keeps failing to connect to steam cloud. I dont want to start over. Please fix this. &gt (,MONSTER HUNTER: WORLD
433694,2016-10-27,14,7,33,False,Recommended,Product received for free. 8fps on a GTX 1080 EVGA FTW 10/10.,The Elder Scrolls V: Skyrim Special Edition
215899,2018-01-14,1,2,52,False,Not Recommended,#ReigonLockChinaReal the Chinese keep hacking and the so called anti cheat system works about as well as a democratic government in Africa.,PLAYERUNKNOWN'S BATTLEGROUNDS
120331,2018-03-20,2,2,364,False,Recommended,I don't know what to say... it's just too fun to use words to describe this game.. amazing graphics easy controls creative moves and stunts many variation of vehicles... and soo much more,Grand Theft Auto V
122709,2018-04-15,1,3,547,False,Not Recommended,Game mahal koq mixed,Grand Theft Auto V
364912,2017-05-22,1,2,2683,False,Recommended,&gt smack trees&gt smack rocks&gt smack br&gt &gt profit,Rust
297843,2018-06-20,45,7,6,False,Not Recommended,This game is really good. Great gun combat and physics fast paced action and a lot of diversity. The devs listen to the community which is great. Fantastic game a must buy!,PLAYERUNKNOWN'S BATTLEGROUNDS
146170,2018-03-03,2,2,227,False,Not Recommended,Final nail in the coffin for me buying another Rockstar Game. Or even even Take2 for that matter.This game is increadably boring. The singleplayer is. I have about 7 hours of singleplayer under my belt that all of those 7 hours I fully regret. A wast empty world that feels extremely fake even with many things to do in it.And don't get me started on the awful driving! Why couldn't they stick with the fun GTA 4 driving that you actualy had to learn how to drive not this mess that is designed for a 12 year old as if they're gonna play the... Oh wait...And multiplayer is about 20 hours actualy me enjoying my time there and the other 200 hours are me grinding to do things so I can have fun. What a cash grab.In conclusion RIP Rockstar along with their franchise. If you want to play the last real GTA games play San Andreas and GTA 4 with the DLC.,Grand Theft Auto V
148478,2016-07-29,1,2,75,False,Recommended,I waiting for GTA GO,Grand Theft Auto V
361582,2017-02-13,3,9,144,True,Not Recommended,I simply hate children. Don't want to play or interact with them. Wish they all rot in hell.,Rust
154939,2015-09-05,5,21,5584,False,Recommended,i play this Game all day ! because its F ucking GTA ! The thing iam not recommending this game because of this F ucking Rockstarts. They didn't respond or care about thier customers. They only treat all of us like thier B itch !!! Every one can see their new business trick which they had done on Summer sale . Just like their old business plan by delaying Pc version to milk console players thier maximum ! Then their gta online ..... it is running with hackers now and rockstars new free updates in that we can buy a plane for 10 M how awesome is that .....? i dont want to remember anything . ahhhhhh....................../ /) .................... / ../ .................../..../ ............./ /'...'/ ........../'/.../..../......./ ........('(... ... .... /'...') ......... .................'...../ ..........''... .......... _. ............ ..............( .............. ............. ...FOR doing this much things .. Thanks U Mfuk Rockstarts !Small tip for all my frds out there plz just avoid Rockstars &amp Thier F ucking support team ....,Grand Theft Auto V
155148,2017-07-03,1,3,120,False,Recommended,,Grand Theft Auto V
135176,2017-10-23,1,2,257,False,Recommended,Free roam is great got bored with it and downloaded native trainer now i have more fun. but I wish RockStar could add more single player content,Grand Theft Auto V
174051,2017-06-19,1,3,731,False,Recommended,I support the removal of OpenIV because im not really interested in GTA5's singleplayer mods and im keen to see the modders/cheaters of GTA Online being helpless without any of their cheating tools. Most of the people complaining are people who don't like grinding or just regular people who like mods. Which is a pity indeed...but not for me ).,Grand Theft Auto V
135028,2017-07-01,1,2,111,False,Not Recommended,This game used to be great. I remeber first playing GTA online with my buddies in middle school on my xbox 360. The first time I logged in nobody had a super garage with 64 vehicles stored inside. it was survival in the streets of Los Santos everyone was scrambling to create their gangs and there was a mad rush to get the more powerful vehicles in the game (buzzard rhino tank etc..) It was an environment unlike any other I had ever seen in the gaming world It was amazing. But alas all good things must come to an end. Once they started coming out with these ridiculous DLC's with blatantly op weapons guns vehicles and so on it really ruined the game. And now they outlawed our mods? these guys. They dont deserve any of the money they've earned and I have no clue why this game is #2 on global top sellers in 2017. Very sad. Pirate this game to play the single player but please dont pay any amount of money for this monstrocity of a video game its not worth it.,Grand Theft Auto V
60716,2016-09-16,1,4,359,False,Not Recommended,I loved this game I constantly told everyone it was amazing and the devs were some of the best...then they had to add the garbage that is crates/trading so no thanks never playing again.,Rocket League®
121586,2016-12-04,1,6,2049,False,Not Recommended,Seeing people banned from GTA Online for no reason is unacceptable.,Grand Theft Auto V
24572,2018-08-23,1,2,107,False,Not Recommended,"Great game but tons of bugs stupid online connection and bad optimization.They should rename this crappy port to ""Monster Hunter Error 50382 MW1""",MONSTER HUNTER: WORLD
8519,2016-06-14,1,9,0,False,Not Recommended,Don't buy this crap piece of you can't change your keys and the game is bugged like a donkey's . Why did they went out of beta?,Dead by Daylight
220629,2017-10-30,1,5,170,True,Recommended,I died before my mexican friend. White privilege is not a thing.,PLAYERUNKNOWN'S BATTLEGROUNDS
262574,2017-04-25,1,2,315,True,Not Recommended,bad game,PLAYERUNKNOWN'S BATTLEGROUNDS
116098,2017-06-29,2,4,377,False,Not Recommended,Got banned forever for mod in offline,Grand Theft Auto V
246262,2017-04-13,1,6,55,True,Not Recommended,This game has a lot of potential I really like this type of genre. I played H1Z1 since the begining and I just have to say that PUBG isnt optimize well in fact its one of the worst optimized games I have ever played. I believe that this will beat H1 but for now its a big NO for me. Thank god I got a refund. Im gonna buy this game when its fully playable because I cant stand playing something in low settings and having bad FPS BTW if you see a lot of positive feedback is because people wanted some different they overhype this game like almost every new game i just hope this wouldnt become a money grab,PLAYERUNKNOWN'S BATTLEGROUNDS
136930,2017-06-25,1,5,132,False,Not Recommended,I am game,Grand Theft Auto V
122637,2015-12-07,1,3,1477,False,Recommended,I've waited 2 years 2 months and 20 days for this amazing game and I have to say it was worth the wait.,Grand Theft Auto V
252146,2017-11-09,2,2,109,True,Not Recommended,cant respawn,PLAYERUNKNOWN'S BATTLEGROUNDS
62517,2017-09-12,2,2,116,False,Recommended,Product received for free. Are you a childish with no life? Are you a fat kiddo / 50y old man?Do you watch Hentai?Well if yes this is the perfect game for you!,Rocket League®
215705,2017-11-26,1,2,171,True,Recommended,Think that's a bush? Think again.,PLAYERUNKNOWN'S BATTLEGROUNDS
384438,2016-09-13,3,14,684,False,Recommended,good game. worth the money..!,Rust
218289,2017-12-30,1,2,44,False,Not Recommended,Can run Battlefield 4 and Arma 3 on High but can't run this on Low/Medium. 2/10 fun but needs optimization.,PLAYERUNKNOWN'S BATTLEGROUNDS
365658,2014-01-14,3,3,3,True,Recommended,I started off and almost at once I was killed by a wolf. Started again and the same thing. I quit after that but came back a few days later. I learned to avoid the wolves and I started to see the potential in this game. The gathering of supplies the crafting and the scavenging are all cool to figure out and attempt to learn. However the game does have some framerate issues and graphical bugs. However I can look past that for now as this game is in alpha. I just hope that eventually this game grows into the masterpiece I can see buried under all the early alpha crap a game experiences.,Rust
116096,2016-01-30,1,4,259,False,Recommended,10/10 m8 verry good for hax,Grand Theft Auto V
218225,2018-10-25,1,2,405,False,Not Recommended,this game bluehole Brandon Greene this game. Absolute garbage desync fest energy drink fest running sim fest,PLAYERUNKNOWN'S BATTLEGROUNDS
265137,2017-11-26,1,2,378,True,Recommended,you can shoot someone in the head 3 times point blank range and they will still turn while aiming at the ground and headshot you. Their barrel can be touching your big toe but yet the bullet will lodge so deep into your skull that even the cancer caused by this game cant reproduce,PLAYERUNKNOWN'S BATTLEGROUNDS
361471,2014-10-08,180,711,23,True,Recommended,"Day 1I seem to have woken up on a mysterious island I don't remember much. All I have is a rock.. I'm scared.There seems to be no sign of other humans. I do not have any food or shelter yet however I was able to obtain a few logs by hitting a tree with this rock multiple times.. What a mysterious island.Day 2I have found a chicken some more wood and a few stones I was able to conceive an amateur handmade axe it only took a few seconds to make so I was able to kill the chicken too. I have also gathered a fairly large pile of wood I might be able to build a makeshift shelter but for now...Tonight I feast.Day 3Today is the day I will finally build a shelter I can feel the warmth of a warm bed and fire already. I haven't felt this good since I was a child playing with my toys I remember one toy more than most it was called a ""Steam"" ahh the good ol' days.I will be home soon. I promise.Day 4I'm sorry.I have killed a man.It all happened so fast he was holding a gun I was debating on making peace with him but he seemed the brutal sort.And all of his gear it was... Enticing.He must have had a family but I am becoming selfish it seems I don't care about the man that I have killed.All that I can think of is one thing not my family not his family...But tonight I feast.Day 5I've come across a small abandoned town there seems to be a lot of loot within the area.The only problem is that I obtain a heavy dose of radiation if I go into the barriers.I have a choice Obtain what's necessary to survive and die from radiation or live on how I am now.. In poverty.I think I'll live.Just for a while longer.Day 6I saw a man today outside of my cabin he was naked and he had a rock.. He seemed to have been yelling incomprehensible jibberish he must be insane.. I remember when I was like that.I still am in a way.Day 7I don't know what to do.The man that I saw yesterday came into my cabin while I was asleep he held a rock to my head and struck..My life flashed before my eyes stupid reflex I grabbed my journal.Remember when I said that I was coming home? Sadly my dear you'll have to meet me in heaven.I am bleeding out. I am in god's hands now. ""HEY ROBERT I FOUND SOME D0UCHE'S DIARY!""""HAHA WHAT AN IDIOT! I BET HE TASTES GOOD THOUGH TONIGHT WE FEAST!""",Rust
114674,2017-06-17,1,3,18,False,Not Recommended,They took our mods...,Grand Theft Auto V
393749,2015-04-30,1,2,17991,True,Recommended,For some reason every time we get an update on Rust Experimental we cannot connect due to wrong connection protocol You would think that after all this time this problem would have been resolved so my rating for you is POOR,Rust
